Word,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,MCDI_AoA
pumpkin,0.04,0.05,0.14,0.18,0.2,0.25,0.32,0.39,0.47,0.47,0.55,0.57,0.74,0.65,0.81,26
raisin,0.05,0.07,0.19,0.26,0.27,0.31,0.46,0.47,0.55,0.61,0.69,0.71,0.81,0.76,0.88,24
salt,0.01,0.01,0.03,0.06,0.09,0.11,0.2,0.17,0.26,0.3,0.34,0.43,0.56,0.5,0.61,28
sandwich,0.02,0.03,0.1,0.18,0.19,0.23,0.36,0.44,0.5,0.57,0.61,0.72,0.85,0.79,0.88,25
sauce,0.02,0.01,0.05,0.08,0.14,0.11,0.26,0.26,0.33,0.3,0.38,0.39,0.59,0.57,0.64,28
soup,0.04,0.05,0.14,0.18,0.28,0.29,0.42,0.47,0.48,0.56,0.59,0.65,0.76,0.69,0.81,25
spaghetti,0.05,0.08,0.15,0.18,0.23,0.28,0.34,0.46,0.54,0.57,0.68,0.68,0.83,0.75,0.88,24
strawberry,0.06,0.09,0.17,0.21,0.26,0.35,0.44,0.51,0.54,0.62,0.69,0.65,0.8,0.8,0.86,23
toast,0.12,0.12,0.23,0.3,0.35,0.33,0.46,0.54,0.58,0.6,0.67,0.72,0.84,0.72,0.87,23
tuna,0.01,0.02,0.05,0.04,0.06,0.1,0.19,0.17,0.18,0.26,0.31,0.36,0.43,0.34,0.43,NA
vitamins,0.02,0.05,0.06,0.12,0.14,0.15,0.22,0.29,0.33,0.41,0.48,0.51,0.61,0.59,0.66,27
yogurt,0.08,0.15,0.28,0.33,0.34,0.38,0.52,0.55,0.58,0.63,0.64,0.71,0.75,0.74,0.87,22
belt,0.04,0.04,0.12,0.18,0.2,0.23,0.28,0.35,0.42,0.47,0.52,0.56,0.71,0.59,0.76,26
bib,0.13,0.16,0.3,0.3,0.34,0.36,0.5,0.51,0.57,0.61,0.67,0.63,0.8,0.64,0.76,23
boots,0.1,0.14,0.26,0.31,0.42,0.46,0.59,0.65,0.66,0.69,0.7,0.77,0.86,0.84,0.88,22
