Word,Length,LgSUBTLWF,OLD
recognizable,12,1.505,4.35
recognizance,12,1.279,4.1
recognize,9,3.243,3.2
recognized,10,2.662,3.2
recognizes,10,2.013,3.5
recognizing,11,1.623,3.6
recoil,6,1.362,2.45
recoiled,8,0.602,2.45
recollect,9,1.74,3.45
recollected,11,0.602,3.65
recollection,12,1.909,3.5
recollections,13,1.279,3.65
recommence,10,0.477,3.3
recommend,9,2.854,2.95
recommendation,14,2.413,4.3
recommendations,15,1.903,4.5
recommended,11,2.436,3.3
recommending,12,1.914,3.6
recommends,10,1.462,3.25
recompense,10,1.146,3.7
reconcile,9,1.771,3.3
reconciled,10,1.544,3.25
reconciles,10,0.477,3.4
reconciliation,14,1.724,4.55
reconciling,11,0.954,3.8
recondition,11,0.301,3.1
reconditioning,14,0.903,4.65
reconnaissance,14,1.949,6.05
reconsider,10,2.41,3.55
reconsideration,15,0.699,4.65
reconsidered,12,1.398,4.4
reconstitute,12,0.903,4.2
reconstruct,11,1.771,3.6
reconstructed,13,1.342,3.6
reconstruction,14,1.919,3.6
reconstructs,12,,4
recontamination,15,,4.35
reconvened,10,0.301,3.35
reconvenes,10,0.602,3.55
reconverting,12,,3.75
recopied,8,,2.8
record,6,3.64,1.9
recorded,8,2.634,1.95
recorder,8,2.403,2.55
recording,9,2.874,2.4
recordings,10,1.954,3.2
records,7,3.315,2.35
recount,7,1.58,2.3
recounted,9,0.602,2.6
recounting,10,0.903,2.65
recounts,8,1.74,2.6
recoup,6,1.114,2.55
recouped,8,,2.7
recourse,8,1.591,2.7
recover,7,2.613,2.15
recoverable,11,0.778,3.7
recovered,9,2.652,2.65
recovering,10,2.193,2.9
recovers,8,1.462,2.55
recovery,8,2.667,2.65
recreate,8,1.732,2.45
recreated,9,1.398,2.4
recreates,9,0.699,2.6
recreating,10,1.301,2.65
recreation,10,1.982,2.65
recreational,12,1.732,3.8
recriminate,11,0.477,3.65
recrimination,13,0.903,3.4
recriminations,14,0.903,3.9
recruit,7,2.276,2.75
recruited,9,2.146,2.65
recruiter,9,1.556,3.05
recruiting,10,2.072,2.8
recruitment,11,1.633,3.85
recruits,8,1.919,2.75
rectal,6,1.672,1.9
rectangle,9,1.079,3.6
rectangular,11,1.362,4.7
rectification,13,0.301,3.05
rectifier,9,,3.55
rectify,7,1.633,2.75
rectilinear,11,,4.65
rectitude,9,0.954,3.15
rector,6,1.279,1.75
rector's,8,,
rectory,7,1.447,2.2
rectum,6,1.415,2.7
recumbent,9,0.301,3.35
recuperate,10,1.279,3.4
recuperating,12,1.398,3.65
recuperation,12,0.699,3.3
recur,5,0.477,2
recurred,8,,2.6
recurrence,10,1.204,3.15
recurrent,9,1.146,2.7
recurrently,11,0.301,3.6
recurring,9,1.778,2.6
recursive,9,0.602,3.2
recusant,8,,2.95
recycle,7,1.653,2.85
red,3,3.878,1.1
redactions,10,,2.5
redbirds,8,0.477,3.25
redbreast,9,0.845,3.7
redcoat,7,0.699,2.9
redcoats,8,1.301,3
redden,6,0.477,1.9
reddened,8,0.602,2.7
redder,6,1.146,1.8
redding,7,1.322,1.75
reddish,7,1.041,2.8
redecorate,10,1.724,3.2
redecorated,11,1.279,3.45
redecorating,12,1.58,3.65
redecoration,12,0.845,3.45
rededicate,10,0.954,3.15
redeem,6,1.924,2.8
redeemed,8,1.518,2.8
redeeming,9,1.477,2.95
redefined,9,0.954,2.9
redefinition,12,0.477,4.25
redemption,10,2.053,3.05
redemptive,10,,3.6
redeploy,8,1.114,3.6
redevelopment,13,1.146,4.95
redhead,7,2.272,2.6
redheaded,9,1.663,2.9
redheads,8,1.462,2.85
redirect,8,1.69,2.9
redirecting,11,1.041,3.35
rediscover,10,1.079,3.55
rediscovering,13,0.602,4.45
rediscovers,11,,3.75
redistribute,12,0.954,4.2
redistributed,13,0.602,4.25
redistribution,14,1.041,4.05
redistricting,13,0.699,4.35
redneck,7,1.959,2.95
redo,4,1.914,1.8
redolent,8,,2.9
redouble,8,1.079,2.8
redoubled,9,0.903,3.15
redoubt,7,1,2.75
redress,7,1.079,2.3
redressed,9,0.602,2.55
reds,4,2.079,1.65
red's,5,,
redskin,7,1.146,2.95
reduce,6,2.342,1.75
reduced,7,2.396,1.95
reducer,7,0.602,2.3
reduces,7,1.362,2.3
reducing,8,1.708,2.55
reduction,9,1.949,2.2
reductions,10,0.778,2.3
redundancy,10,1.518,4.15
redundant,9,1.875,3.35
reduplicate,11,,3.65
redwing,7,,2
redwood,7,1.58,2.8
redwoods,8,0.778,3.3
reed,4,2.667,1.1
reeducate,9,,3.25
reeducation,11,1,3
reedy,5,0.903,1.7
reef,4,2.312,1.7
reefer,6,1.699,1.95
reefs,5,1.415,1.9
reek,4,1.672,1.5
reeked,6,1,1.9
reeking,7,1.38,1.85
reel,4,2.223,1.35
reelected,9,1.301,2.6
reelection,10,1.505,2.65
reeled,6,0.602,1.85
reeling,7,1.708,1.8
reels,5,1.58,1.6
reemerged,9,,3.2
reenact,7,1.23,2.75
reentered,9,0.845,2.85
reestablish,11,1.362,4.65
reevaluation,12,0.778,3.45
reexamination,13,0.301,3.95
reexamine,9,1.204,3.75
ref,3,2.114,1.75
reface,6,,1.9
refashion,9,,3.4
refectories,11,,4.25
refer,5,2.574,1.8
referee,7,2.265,2.45
reference,9,2.636,2.4
references,10,2.322,2.9
referendum,10,0.778,3.95
referent,8,0.301,2.4
referential,11,0.602,3.3
referral,8,1.462,2.8
referrals,9,1.204,3.45
referred,8,2.354,2.35
referring,9,2.537,2.55
refers,6,2,1.9
refill,6,2.155,2.4
refilled,8,0.903,2.6
refinance,9,0.301,2.8
refine,6,1.362,1.8
refined,7,2.017,1.8
refinement,10,1.447,3.35
refinements,11,1,3.45
refiner,7,0.477,2.25
refinery,8,1.699,2.75
refining,8,1.146,2
refit,5,1.114,1.95
reflect,7,2.33,2.1
reflectance,11,0.477,3.65
reflected,9,1.935,2.3
reflecting,10,1.518,2.5
reflection,10,2.41,2.25
reflections,11,1.518,2.5
reflective,10,1.505,2.5
reflector,9,1.176,2.6
reflectors,10,0.903,2.8
reflects,8,1.898,2.35
reflex,6,2.068,2.4
reflexes,8,2.09,2.85
reflexive,9,0.301,3.65
reflux,6,1.279,2.75
refocusing,10,,3.5
refolded,8,0.301,2.5
reforest,8,,2.6
reforestation,13,,4.2
reform,6,2.267,2.05
reformation,11,1.041,2.8
reformatory,11,1.279,3.9
reformed,8,1.771,2.2
reformer,8,1.079,2.4
reformers,9,0.845,2.7
reforming,9,1.114,2.6
reformism,9,,3.4
reforms,7,1.23,2.25
reformulated,12,,4.5
refract,7,0.477,2.45
refracted,9,0.778,2.65
refraction,10,0.954,2.6
refractive,10,0.477,2.95
refractory,10,0.602,3.3
refrain,7,2.021,2.6
refrained,9,0.778,2.65
refresh,7,2.107,2.65
refreshed,9,1.58,2.75
refresher,9,1.204,3.45
refreshing,10,2.274,3.05
refreshingly,12,1,4.65
refreshment,11,1.716,3.6
refreshments,12,1.924,4.3
refrigerant,11,0.301,4.1
refrigerate,11,1.041,3.5
refrigerated,12,1.342,3.85
refrigeration,13,1.255,3.7
refrigerator,12,2.631,4.25
refrigerators,13,1.415,4.85
refuel,6,1.643,2
refueling,9,1.322,2.85
refuge,6,2.1,1.85
refugee,7,1.996,2.45
refugees,8,2.053,3
refund,6,2.152,1.95
refunded,8,1.079,2.5
refunds,7,1.301,2.55
refurbish,9,0.699,3.55
refurbished,11,0.954,3.95
refurbishing,12,0.845,4.15
refusal,7,1.826,2.75
refuse,6,3.03,1.7
refused,7,2.82,1.85
refuses,7,2.393,2.2
refusing,8,2.225,2.55
refutable,9,,2.8
refutation,10,0.301,2.75
refute,6,1.544,1.8
refuted,7,0.903,1.85
regain,6,2.13,1.85
regained,8,1.806,2.2
regaining,9,0.954,2.3
regains,7,1.301,2.05
regal,5,1.771,1.85
regaled,7,0.778,2
regalia,7,0.845,2.8
regard,6,2.575,1.85
regarded,8,2.021,2.3
regarding,9,2.636,2.5
regardless,10,2.42,3.5
regards,7,2.413,2.4
regatta,7,1.462,2.85
regattas,8,,3.35
regency,7,1.505,2.75
regenerate,10,1.342,2.8
regenerates,11,0.699,3.25
regenerating,12,0.301,3.45
regeneration,12,1.544,2.95
regent,6,1.935,1.7
regents,7,1.146,1.9
reggae,6,1.699,2.85
regicide,8,,3.35
regime,6,2.075,1.9
regimen,7,1.613,2.6
regiment,8,2.394,2.3
regimentation,13,0.778,3.5
regimented,10,0.699,3.25
regiments,9,1.255,2.55
regiment's,10,,
regimes,7,1.176,2.4
Regina,6,1.909,1.95
Reginald,8,,2.85
region,6,2.41,1.9
regional,8,2.204,2.65
regionalism,11,0.301,3.7
regionally,10,0.301,3.4
regions,7,1.881,2.05
region's,8,,
register,8,2.75,2.65
registered,10,2.714,3.35
registering,11,1.69,3.55
registers,9,1.568,2.75
registrant,10,,3.45
registrants,11,0.301,3.65
registrant's,12,,
registrar,9,1.447,3.45
registration,12,2.524,3.6
registrations,13,1.146,3.8
registries,10,0.301,3.55
registry,8,1.819,2.95
regress,7,1.204,2.1
regression,10,1.532,2.6
regret,6,3.141,2.25
regretfully,11,1.362,4.25
regrets,7,2.48,2.35
regrettable,11,1.681,3.75
regrettably,11,1.532,4.5
regretted,9,1.857,2.9
reground,8,,2.6
regroup,7,1.863,2.8
regrouped,9,0.845,3.4
regrouping,10,1.176,3.6
regular,7,3.237,2.5
regularity,10,1.23,3.1
regularize,10,0.301,3.25
regularly,9,2.238,3.15
regulars,8,1.792,2.75
regulate,8,1.602,2.6
regulated,9,1.279,2.7
regulating,10,1,2.75
regulation,10,2.104,2.5
regulations,11,2.513,2.7
regulative,10,,2.85
regulator,9,1.623,2.8
regulatory,10,1.176,3.15
regurgitate,11,1.114,4.65
regurgitation,13,0.699,4.4
rehabilitate,12,1.342,4.35
rehabilitating,14,0.602,4.95
rehabilitation,14,1.919,4.15
rehabilitations,15,,4.85
reharmonization,15,,5.25
rehash,6,1.342,2.65
rehear,6,,2.35
rehearing,9,,2.5
rehearsal,9,2.804,3.3
rehearsals,10,2.155,3.7
rehearse,8,2.364,2.65
rehearsed,9,1.839,2.7
rehearsing,10,2.26,2.8
rehouse,7,,2.35
Reich,5,2.114,1.85
reify,5,,1.95
reign,5,2.204,1.8
reigned,7,1.23,2.05
reigning,8,1.602,2.3
reigns,6,1.362,2.05
Reilly,6,,1.95
reimburse,9,1.505,3.55
reimburseable,13,,5.4
reimbursed,10,0.954,3.65
reimbursement,13,0.903,4.5
reimbursements,14,0.477,4.9
reimburses,10,0.477,4
rein,4,1.602,1.7
reincarnate,11,1.176,4.35
reincarnated,12,1.58,4.35
reincarnation,13,1.826,4.2
reindeer,8,2.238,2.9
reined,6,0.477,1.75
reinforce,9,1.69,3.3
reinforced,10,1.763,3.3
reinforcement,13,1.653,4.3
reinforcements,14,2.209,4.65
reinforces,10,1.176,3.4
reinforcing,11,1.176,3.7
reins,5,1.875,1.7
reinstall,9,0.477,3.55
reinstate,9,1.699,3.05
reinstated,10,1.771,3.45
reinstatement,13,1.176,4.5
reinstitution,13,,3.95
reinsurance,11,,3.65
reinsure,8,0.301,2.7
reinterpret,11,,4.15
reinterpreted,13,,4.3
reintroduces,12,0.477,4.6
reinvestigation,15,,4.75
reinvigoration,14,,4.7
reissue,7,0.699,2.7
reiterate,9,1.532,2.7
reiterated,10,0.477,2.8
reiterates,10,,3.2
reiterating,11,,3.3
reiteration,11,0.301,2.9
reject,6,2.337,1.85
rejected,8,2.529,1.95
rejecting,9,1.813,2.35
rejection,9,2.228,1.95
rejections,10,0.845,2.3
rejects,7,1.903,2.25
rejoice,7,1.94,2.75
rejoiced,8,1.079,2.75
rejoices,8,1,2.8
rejoicing,9,1.663,2.9
rejoin,6,1.813,2.35
rejoinder,9,0.477,3.05
rejoining,9,0.778,2.55
rejuvenate,10,0.903,4
rejuvenation,12,0.699,3.8
rekindle,8,1.447,2.95
rekindling,10,0.845,3.55
relaid,6,,1.95
relapse,7,1.681,2.65
relate,6,2.386,1.8
related,7,2.809,1.7
relatedness,11,,3.9
relates,7,1.544,1.85
relating,8,1.771,1.9
relation,8,2.324,1.9
relational,10,0.778,2.95
relations,9,2.688,2.3
relationship,12,3.538,4.5
relationships,13,2.785,5.25
relative,8,2.6,2.35
relatively,10,2.223,3.15
relatives,9,2.711,2.6
relativism,10,0.477,3.3
relativist,10,,3.35
relativistic,12,0.477,4.5
relativity,10,1.602,3.1
relax,5,3.693,1.95
relaxation,10,1.909,2.8
relaxed,7,2.553,1.95
relaxes,7,1.591,2.35
relaxing,8,2.267,2.4
relay,5,2.185,1.75
relayed,7,1.38,1.85
relaying,8,1.301,2
relearns,8,,2.9
release,7,3.268,2.4
released,8,2.946,1.95
releases,8,1.954,2.5
releasing,9,2.167,2.5
relegate,8,0.477,2.45
relegated,9,1,2.45
relent,6,1.146,1.8
relented,8,0.699,1.95
relentless,10,1.903,3.7
relentlessly,12,1.447,4.55
relentlessness,14,0.301,4.8
relevance,9,1.919,2.7
relevancy,9,0.778,3.55
relevant,8,2.458,2.7
reliable,8,2.48,2.6
reliably,8,1,3.05
reliance,8,1.176,2.55
reliant,7,0.845,2.4
relic,5,1.839,1.95
relict,6,0.477,1.95
relied,6,1.69,1.8
relief,6,2.872,2.05
relies,6,1.462,1.8
relieve,7,2.455,2.05
relieved,8,2.72,2.2
relieves,8,1.23,2.25
relieving,9,1.785,2.65
religion,8,2.85,2.7
religions,9,1.681,2.65
religious,9,2.85,2.75
religiously,11,1.431,3.7
religiousness,13,,4.9
reline,6,,1.8
relinquish,10,1.672,4.35
relinquished,12,0.845,4.55
relinquishing,13,0.903,5.05
relish,6,1.987,2
relishes,8,0.602,2.7
relishing,9,0.778,2.65
relive,6,1.94,1.8
relives,7,0.477,1.85
reliving,8,1.477,1.9
reload,6,1.857,2.25
reloaded,8,1.079,2.55
relocate,8,1.819,2.6
relocation,10,1.602,2.5
reluctance,10,1.672,3.5
reluctant,9,2.111,3.15
reluctantly,11,1.532,4.25
rely,4,2.565,1.9
relying,7,1.819,1.9
remade,6,1.041,1.95
remain,6,3.229,1.85
remainder,9,1.892,2.55
remained,8,2.35,2.05
remaining,9,2.538,2.2
remains,7,2.95,1.85
remake,6,1.724,1.9
remaking,8,0.699,2.15
remand,6,0.954,1.9
remanded,8,1.613,2.2
remanding,9,0.301,2.35
remark,6,2.352,2.1
remarkable,10,2.808,3.3
remarkably,10,2.009,3.75
remarked,8,1.279,2.3
remarking,9,1.041,2.5
remarks,7,2.303,2.55
remarriage,10,0.602,3.5
remarried,9,1.959,2.85
remarry,7,1.653,2.85
remarrying,10,0.845,2.9
Rembrandt,9,2.717,3.8
Rembrandt's,11,,
remedial,8,1.322,2.9
remedies,8,1.462,2.9
remedy,6,2.075,2.4
remember,8,4.442,2.7
remembered,10,3.06,3.55
remembering,11,2.471,3.85
remembers,9,2.595,3.15
remembrance,11,1.58,3.85
remembrances,12,0.477,4.5
remilitarize,12,,4.4
remind,6,3.275,1.85
reminded,8,2.627,2.15
reminder,8,2.286,2.25
reminders,9,1.301,2.7
reminding,9,2.19,2.6
reminds,7,2.972,2.3
reminisce,9,1.58,3.2
reminisced,10,0.301,3.4
reminiscence,12,0.845,3.9
reminiscences,13,0.699,4.7
reminiscent,11,1.362,3.55
reminisces,10,0.301,3.4
reminiscing,11,1.415,3.6
remiss,6,1.556,2.2
remission,9,1.663,2.5
remissions,10,,2.65
remitted,8,0.954,2.5
remnant,7,1.114,2.4
remnants,8,1.544,2.8
remodel,7,1.602,2.45
remodeled,9,1.176,3.25
remodeling,10,1.518,3.3
remolding,9,0.301,2.6
remonstrance,12,,3.75
remonstrate,11,,3.15
remonstrated,12,,3.35
remorse,7,2.19,2.6
remorseful,10,1.23,4.55
remorseless,11,0.778,4.25
remote,6,2.854,1.8
remotely,8,2.217,2.8
remoteness,10,0.699,3.8
remoter,7,,2.15
remotest,8,1.079,2.75
remount,7,0.477,2.55
remounting,10,,2.7
removable,9,0.845,2.7
removal,7,2.025,2.65
remove,6,3.035,1.8
removed,7,2.868,1.85
remover,7,1.532,2.1
removes,7,1.756,2.15
removing,8,2.22,2.6
remunerate,10,,3.15
remuneration,12,1.079,3.25
remunerative,12,0.301,4
Renaissance,11,2.053,4.55
renal,5,1.914,1.75
rename,6,1.079,1.95
renamed,7,1.041,1.95
renascent,9,,3.4
renaturation,12,,3.6
rend,4,1.23,1.2
render,6,2.017,1.6
rendered,8,2.1,2.15
rendering,9,1.74,2.4
renderings,10,0.602,2.9
renders,7,1.415,1.75
rendezvous,10,2.495,4.45
rendition,9,1.362,2.7
renditions,10,0.602,2.8
renegade,8,1.839,2.9
renege,6,1.079,2.5
renew,5,2.049,1.95
renewable,9,0.954,2.9
renewal,7,1.699,2.5
renewed,7,1.898,2.3
renewing,8,1.477,2.6
renews,6,0.477,1.95
Reno,4,2.413,1.8
renounce,8,1.94,2.65
renouncing,10,0.954,2.9
renovate,8,1.146,2.75
renovated,9,1.398,2.9
renovation,10,1.643,2.8
renown,6,1.322,2.55
renowned,8,1.833,2.9
rent,4,3.246,1.2
rental,6,2.393,1.75
rentals,7,1.518,2.3
rented,6,2.669,1.8
renting,7,2.212,1.85
rents,5,1.819,1.75
renunciation,12,1.079,3.1
renunciations,13,,3.65
reopen,6,1.914,2.3
reopened,8,1.663,2.7
reopening,9,1.544,2.85
reorder,7,0.699,2.5
reorganization,14,1.279,3.85
reorganizations,15,,4.45
reorganize,10,1.342,3.45
reorganized,11,1,3.4
reorganizing,12,1.041,4.2
reorient,8,0.477,2.85
reorientation,13,0.699,3.6
reoriented,10,0.301,3.1
rep,3,2.422,1.5
repaid,6,1.633,1.9
repaint,7,1.38,2.2
repainting,10,1.079,2.75
repair,6,2.654,2.15
repaired,8,2.149,2.25
repairing,9,1.633,2.5
repairmen,9,0.903,3.45
repairs,7,2.248,2.5
reparable,9,,2.5
reparation,10,0.845,2.45
repast,6,0.954,1.95
repatriate,10,0.699,3.65
repatriation,12,0.477,3.4
repay,5,2.425,1.8
repayable,9,,2.7
repayment,9,1.114,3
repeal,6,0.954,1.85
repealed,8,1,2.15
repeat,6,3.227,1.8
repeated,8,2.158,1.9
repeatedly,10,2.068,3.4
repeater,8,1.176,2.7
repeating,9,2.433,2.4
repeats,7,1.903,2.25
repel,5,1.544,1.75
repelled,8,1.114,1.95
repellent,9,1.613,2.95
repels,6,1,1.8
repent,6,2.093,1.75
repentance,10,1.505,3.4
repentant,9,1.114,2.85
repercussion,12,0.699,3.9
repercussions,13,1.748,4.35
repertoire,10,1.38,3.8
repertory,9,1.23,3.45
repetition,10,1.556,2.7
repetitions,11,0.778,3.05
repetitious,11,0.903,3.55
repetitive,10,1.477,3.5
rephrased,9,,2.95
replace,7,2.834,2.35
replaced,8,2.625,2.35
replacement,11,2.502,3.55
replacements,12,1.978,3.8
replaces,8,1.38,2.55
replacing,9,2.124,2.65
replanted,9,0.699,2.6
replay,6,1.792,2
replenish,9,1.431,3.8
replenished,11,0.845,4
replenishment,13,0.301,4.95
replete,7,0.954,2.7
replica,7,1.756,2.7
replicate,9,1.58,2.6
replication,11,1.079,2.7
replied,7,1.778,1.95
replies,7,1.462,2.2
reply,5,2.391,1.85
replying,8,0.903,2.5
reponses,8,,2.7
report,6,3.741,1.75
reported,8,2.888,1.95
reportedly,10,1.518,3.35
reporter,8,3.018,2.2
reporters,9,2.64,2.6
reporting,9,2.771,2.55
reportorial,11,0.477,4.4
reports,7,3.113,1.9
repose,6,1.477,1.9
reposed,7,0.477,2.15
repositories,12,0.301,4.5
repository,10,1.146,3.35
repossess,9,1.322,3.25
repossession,12,0.477,3.85
repot,5,0.602,1.9
reprehend,9,0.301,3.4
reprehensible,13,1.477,4.85
represent,9,2.889,2.75
representation,14,2.107,3.55
representational,16,0.477,4.75
representations,15,1.114,3.8
representative,14,2.433,4.35
representatives,15,2.041,4.8
represented,11,2.33,3.3
representing,12,2.369,3.65
represents,10,2.497,3.15
repress,7,1.301,2.05
repressed,9,1.978,2.4
repression,10,1.633,2.4
repressions,11,0.301,2.65
repressive,10,1.114,2.75
reprieve,8,1.716,2.6
reprimand,9,1.447,3.6
reprimanded,11,1.342,4.15
reprint,7,0.903,2.4
reprinted,9,0.845,2.65
reprints,8,,2.75
reprisal,8,1.146,2.8
reprisals,9,1.398,3.35
reprise,7,0.903,2.35
reproach,8,1.38,2.95
reproaches,10,0.845,3.45
reproachful,11,0.602,4.9
reprobate,9,1.079,3
reprobating,11,,3.65
reproduce,9,1.903,2.95
reproduced,10,1.255,3.25
reproduces,10,0.954,3.05
reproducibilities,17,,6.85
reproducibility,15,,5.45
reproducible,12,0.477,4.15
reproducibly,12,,4.6
reproducing,11,1.146,3.3
reproduction,12,1.881,3.45
reproductions,13,1.041,3.55
reproductive,12,1.74,3.55
reproof,7,0.477,2.85
reprove,7,0.477,2.45
reprovingly,11,,4.3
reps,4,1.672,1.9
reptile,7,1.863,2.5
reptilian,9,1.23,3.75
republic,8,2.458,3.3
Republican,10,2.316,3.8
republicanism,13,,5.3
Republicans,11,1.792,4.15
republics,9,0.903,3.5
repudiate,9,1.146,3.2
repudiated,10,,3.4
repudiating,11,0.699,3.4
repudiation,11,0.778,3
repugnance,10,0.602,3.7
repugnant,9,1.602,3.5
repulse,7,1.146,2.45
repulsed,8,1.623,2.55
repulsion,9,0.954,2.6
repulsions,10,0.301,3
repulsive,9,2.017,2.95
reputable,9,1.643,2.75
reputation,10,2.993,2.45
reputations,11,1.532,2.75
reputation's,12,,
repute,6,1.079,1.9
reputed,7,1.518,1.9
reputedly,9,0.602,3.35
request,7,3.116,2.5
requested,9,2.644,2.8
requesting,10,2.348,3
requests,8,2.438,2.7
requiem,7,1.301,2.85
require,7,2.735,2.35
required,8,2.739,2.5
requirement,11,1.869,3.55
requirements,12,1.978,3.95
requires,8,2.69,2.55
requiring,9,1.748,2.75
requisite,9,1.301,3.1
requisites,10,,3.5
requisition,11,1.763,3.45
requisitioned,13,1.204,4.45
requital,8,,2.9
reread,6,1.38,2
rerun,5,1.681,2.2
resale,6,1.114,1.95
rescind,7,1.447,2.4
rescinded,9,1.462,2.75
rescript,8,,2.75
rescue,6,3.113,2.3
rescued,7,2.442,2.4
rescuer,7,1.176,2.75
rescuing,8,2.049,2.65
resealed,8,0.602,2.1
research,8,3.228,3.05
researchable,12,,4.55
researcher,10,1.591,3.45
researchers,11,1.763,3.75
researches,10,1.255,3.25
researching,11,1.875,3.4
reseat,6,0.301,1.85
resemblance,11,2.258,4
resemble,8,1.944,2.6
resembled,9,1.23,2.65
resembles,9,1.785,2.8
resembling,10,1.491,3
resent,6,2.468,1.65
resented,8,1.732,1.9
resentful,9,1.477,3.5
resentment,10,1.887,3.45
reservation,11,2.722,2.7
reservations,12,2.516,3.3
reserve,7,2.565,1.9
reserved,8,2.413,1.8
reserves,8,1.929,2.1
reserving,9,0.699,2.45
reservoir,9,1.982,3.55
reservoirs,10,1.079,3.7
reset,5,2.217,1.75
resettle,8,,2.8
resettlement,12,0.778,4.3
resettling,10,,2.8
reshaped,8,0.602,2.7
reshapes,8,0.477,2.75
reshuffle,9,0.699,3.65
reside,6,1.756,1.75
resided,7,0.903,1.85
residence,9,2.625,2.5
residences,10,1.114,2.8
residency,9,2,2.75
resident,8,2.574,2.2
residential,11,1.964,3.25
residentially,13,,4.35
residents,9,2.425,2.5
resides,7,1.591,1.75
residing,8,1.204,1.95
residual,8,1.813,3.2
residue,7,2.149,2.45
residues,8,0.954,2.55
resifted,8,,2.45
resign,6,2.412,1.8
resignation,11,2.283,2.85
resignations,12,1.114,3.45
resigned,8,2.155,2.1
resignedly,10,,3.8
resigning,9,1.633,2.45
resigns,7,0.903,2.05
resilience,10,0.903,3.4
resilient,9,1.462,2.85
resin,5,1.491,1.75
resinlike,9,,3.9
resinous,8,,2.8
resins,6,0.602,1.8
resiny,6,,1.9
resist,6,2.818,1.9
resistance,10,2.635,2.75
resistances,11,,3.55
resistant,9,1.672,2.7
resisted,8,1.94,2
resistible,10,0.301,3.65
resisting,9,2.185,2.25
resistive,9,,2.85
resistor,8,0.845,2.7
resistors,9,0.778,2.8
resists,7,1.477,2.05
resole,6,0.301,1.9
resolute,8,1.505,2.65
resolutely,10,0.903,3.7
resolution,10,2.179,2.45
resolutions,11,1.322,2.85
resolve,7,2.394,2.05
resolved,8,2.245,2
resolves,8,1,2.3
resolving,9,1.255,2.5
resonance,9,1.532,2.75
resonances,10,,3.4
resonant,8,0.845,2.85
resonate,8,1.23,2.6
resort,6,2.548,1.85
resorted,8,1.114,1.9
resorting,9,1.255,2.3
resorts,7,1.447,2.2
resound,7,1,2.3
resounding,10,1.38,2.7
resounds,8,0.699,2.6
resource,8,1.924,2.75
resourceful,11,1.875,4.4
resourcefully,13,,5.25
resourcefulness,15,1.146,6.1
resources,9,2.673,2.95
respect,7,3.562,2.25
respectability,14,1.591,4.65
respectable,11,2.461,3.45
respected,9,2.528,2.5
respectful,10,1.991,3.65
respecting,10,1.74,2.65
respective,10,1.623,2.7
respectively,12,1.204,3.7
respects,8,2.533,2.5
respiration,11,1.806,2.6
respirator,10,1.58,3.5
respirators,11,0.845,3.5
respiratory,11,2.155,3.5
respire,7,,2.15
respite,7,1.398,2.35
resplendence,12,,4.4
resplendent,11,1.079,3.65
respond,7,2.857,2.7
responded,9,2.143,2.7
respondent,10,0.903,2.8
respondents,11,,3.15
respondent's,12,,
responding,10,2.396,2.9
responds,8,1.813,2.7
response,8,2.915,2.55
responses,9,1.909,2.65
responsibilities,16,2.53,6.1
responsibility,14,3.257,4.5
responsible,11,3.361,3.55
responsibly,11,1.342,3.95
responsive,10,1.613,3.25
responsively,12,,4
responsiveness,14,0.477,4.95
rest,4,4.036,1.25
restage,7,0.477,2.2
restate,7,0.903,1.85
restatement,11,0.301,3.45
restates,8,0.301,2.45
restating,9,0.301,2.5
restaurant,10,3.376,3.75
restauranteur,13,0.301,5.45
restaurants,11,2.544,4.15
restaurateur,12,0.699,4.9
rested,6,2.057,1.65
restful,7,1.591,2.85
resting,7,2.554,1.75
restitution,11,1.462,2.95
restive,7,,1.95
restively,9,,3
restless,8,2.394,2.65
restlessness,12,1.23,3.9
restock,7,1.38,2.9
restorability,13,,4.8
restoration,11,1.69,2.85
restorative,11,0.699,3.75
restore,7,2.405,2.2
restored,8,2.332,2.5
restorers,9,,3
restoring,9,1.708,2.6
restrain,8,1.898,2.4
restrained,10,1.756,2.6
restraining,11,2.236,2.8
restrains,9,0.602,2.55
restraint,9,2.121,2.6
restraints,10,1.892,3
restrict,8,1.462,2.55
restricted,10,2.322,2.8
restricting,11,1.146,2.8
restriction,11,1.431,2.7
restrictions,12,1.869,3.2
restrictive,11,1.176,2.9
restricts,9,0.903,2.75
restructure,11,1.146,3.4
restructured,12,1.204,3.75
rests,5,2.149,1.65
restudy,7,,2.9
resublimed,10,,3.75
result,6,3.004,2.1
resultant,9,0.602,2.7
resultants,10,,3.45
resulted,8,1.785,2.2
resulting,9,1.909,2.5
results,7,3.064,2.55
resume,6,2.464,1.9
resumed,7,1.301,2.1
resuming,8,1.491,2.55
resumption,10,0.602,2.95
resurface,9,0.845,3.5
resurgence,10,0.699,3.35
resurgent,9,,2.85
resurrect,9,1.568,3.25
resurrected,11,1.708,3.7
resurrecting,12,0.903,3.65
resurrection,12,2.238,3.6
resuscitate,11,1.653,4.3
resuscitation,13,1.38,4
resuspended,11,,3.8
resuspension,12,,4.5
retail,6,2.075,1.9
retailer,8,0.477,2.6
retailers,9,1.114,2.75
retailing,9,0.699,2.4
retain,6,2.086,1.75
retained,8,1.792,1.8
retainer,8,2.037,2.3
retainers,9,0.699,2.6
retaining,9,1.532,1.9
retains,7,1.279,1.85
retake,6,1.58,1.95
