Word,Dom_PoS
aesthetes,Noun
aesthetic,Adjective
aesthetically,Adverb
aesthetics,Noun
aet,Unclassified
af,Unclassified
afar,Adverb
afb,Noun
afd,Noun
afeard,Noun
afeared,Verb
afebrile,Noun
afer,Verb
aff,Noun
affa,Noun
affability,Noun
affable,Adjective
affably,Adverb
affair,Noun
affaire,Noun
affaires,Noun
affairs,Noun
affect,Verb
affectation,Noun
affectations,Noun
affected,Verb
affectedly,Adverb
affecting,Verb
affection,Noun
affectionate,Adjective
affectionately,Adverb
affections,Noun
affective,Adjective
affectless,Adjective
affects,Verb
affenpinscher,Noun
affianced,Verb
affiant,Noun
affiche,Noun
afficionado,Noun
affidavit,Noun
affidavits,Noun
affiliate,Noun
affiliated,Verb
affiliates,Noun
affiliation,Noun
affiliations,Noun
affinity,Noun
affirm,Verb
affirmation,Noun
affirmations,Noun
affirmative,Noun
affirmatively,Adverb
affirmed,Verb
affirming,Verb
affirms,Verb
affix,Verb
affixed,Verb
afflatus,Noun
afflict,Verb
afflicted,Adjective
afflicting,Verb
affliction,Noun
afflictions,Noun
afflictive,Adjective
afflicts,Verb
affluence,Noun
affluent,Adjective
afford,Verb
affordability,Noun
affordable,Adjective
afforded,Verb
affording,Verb
affords,Verb
affright,Noun
affront,Noun
affronted,Verb
afghan,Adjective
afghani,Noun
afghanis,Noun
afghanistan,Name
afghans,Noun
aficionado,Noun
aficionados,Noun
afield,Adverb
afikomen,Noun
afire,Adjective
aflame,Adjective
afloat,Adjective
aflutter,Verb
afoot,Adverb
afore,Conjunction
aforehand,Adverb
aforementioned,Adjective
aforesaid,Adjective
aforethought,Adjective
afoul,Noun
afraid,Adjective
afresh,Adverb
africa,Name
african,Adjective
africans,Noun
afrikaans,Noun
afrikaner,Noun
afro,Noun
afros,Noun
aft,Adverb
after,Preposition
afterbirth,Noun
afterburner,Noun
afterburners,Noun
aftercare,Noun
afterdeck,Noun
aftereffect,Noun
aftereffects,Noun
afterglow,Noun
afterimage,Noun
afterlife,Noun
aftermarket,Noun
aftermast,Noun
aftermath,Noun
aftermaths,Noun
afternight,Noun
afternoon,Noun
afternoons,Noun
afters,Noun
afterschool,Noun
aftershave,Noun
aftershaves,Noun
aftershock,Noun
aftershocks,Noun
aftertaste,Noun
afterthought,Noun
afterthoughts,Noun
afterward,Adverb
afterwards,Adverb
afterwords,Noun
afterwork,Noun
afterworld,Noun
ag,Unclassified
aga,Name
again,Adverb
against,Preposition
agal,Adjective
agamemnon,Name
agapanthus,Unclassified
agar,Name
agarose,Noun
agata,Name
agate,Noun
agates,Noun
agave,Verb
age,Noun
aged,Verb
agee,Name
ageing,Adjective
ageism,Noun
ageist,Noun
ageless,Adjective
agen,Noun
agencies,Noun
agency,Noun
agenda,Noun
agendas,Noun
agent,Noun
agenting,Adjective
agents,Noun
ager,Noun
ageratum,Noun
ages,Noun
aggie,Name
aggies,Name
agglutinate,Verb
agglutinin,Noun
aggrandize,Verb
aggrandizement,Noun
aggrandizing,Verb
aggravate,Verb
aggravated,Adjective
aggravates,Verb
aggravating,Verb
aggravation,Noun
aggregate,Noun
aggregating,Verb
aggregation,Noun
aggress,Verb
aggressed,Verb
aggresses,Verb
aggression,Noun
aggressions,Noun
aggressive,Adjective
aggressively,Adverb
aggressiveness,Noun
aggressor,Noun
aggressors,Noun
aggrieved,Adjective
aggro,Noun
agha,Name
aghast,Adjective
agile,Adjective
agility,Noun
agin,Noun
aging,Adjective
agist,Noun
agists,Noun
agit,Noun
agitate,Verb
agitated,Adjective
agitates,Verb
agitating,Verb
