dolly,,7,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,4,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,7,7,4,7,7,7,7,3,7,6,5,7,3,1,,,7,,3,,4,6,6,6,7,7,7,7,7,5
arm,,7,,,,,,,,,,,,,,,3,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,7,,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7,7,7,2,1,7,7,7,6,7,6,7,,7,7,7,,6,7,7,7,7,,,,,7,7,7,,6
tobacco,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,1,1,1,3,1,1,1,1,,2,1,1,,1,1,1,,,2,1,1,1,1,1,4,,2
code,,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,7,2,1,1,4,2,6,7,1,2,,1,1,4,,1,,,1,1,2,,1,1,7,,,1,2
wade,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,5,4,2,4,1,3,4,1,5,1,2,,1,5,1,,1,4,1,3,,5,1,1,1,7,,1,1,1
unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,4,1,1,2,1,1,3,1,2,6,1,1,,1,1,,1,1,1,1,1,1,1,1,1,4,1,,2,1,1
brush,,7,,,,,,,,7,,7,,,,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,7,7,7,4,7,7,7,7,5,7,5,7,7,7,7,7,7,7,7,,,,,7,,,7,,,,
scales,,,,,,,,,,7,,,,,,,,,,,,4,7,,,,,,2,,,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,1,,,,,,,,,2,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,6,,7,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,1,1,2,1,4,6,2,3,7,2,2,,3,5,4,6,6,1,1,1,1,,,,,7,,4,7,4
listen,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,4,,7,,,,,,,,,7,3,7,4,1,1,6,2,6,7,7,1,7,1,1,7,4,2,,1,7,,2,1,,1,4,7,,1,1
always,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,7,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,1,1,6,2,6,7,3,1,7,1,1,,2,1,,,3,1,1,1,,1,,7,1,,1
